,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
2031,Lot 5,187074461,07-06-01-070,Mondovi,B335222107_07_06_01_070_001.jp2,,11280/ef212e1b,119.8,,,11280/316b86de,11280/6f8391c7,11280/f560bc1a,11280/7b0c1bb7,,,,,,,
2032,Lot 5,187109133,07-06-01-073,Munier,B335222107_07_06_01_073_001.jp2,,11280/5bdf890b,123.6,,,11280/6db2176e,11280/999ac209,11280/0bfe02a5,11280/e7a8cc11,,,,,,,
2033,Lot 5,244902542,07-06-01-076,Gouraya,B335222107_07_06_01_076_001.jp2,,11280/f04b4cc0,109.9,,,11280/49cfaaa9,11280/08b52925,11280/9ac8f01b,11280/bc1d3701,,,,,,,
2034,Lot 5,200057847,07-06-01-078,Cherchell,B335222107_07_06_01_078_001.jp2,,11280/ce912c05,113.5,,,11280/8bc69514,11280/60f355d3,11280/da9fe7aa,11280/9ce99801,,,,,,,
2035,Lot 5,244905207,07-06-01-079,Cherchell,B335222107_07_06_01_079_001.jp2,,11280/e11ea546,119.2,,,11280/46167693,11280/46924e5f,11280/6182dce4,11280/5d61c6bd,,,,,,,
2036,Lot 5,187118124,07-06-01-081,Tipasa,B335222107_07_06_01_081_001.jp2,,11280/f3f77971,114.6,,,11280/c6303588,11280/7248da2f,11280/e3381bf6,11280/ba941d3b,,,,,,,
2037,Lot 5,244941076,07-06-01-082,Tipaza,B335222107_07_06_01_082_001.jp2,,11280/bdc772ad,118.4,,,11280/094ec448,11280/8e4a2a96,11280/77e66935,11280/369fe06e,,,,,,,
2038,Lot 5,167840118,07-06-01-085,Koléa,B335222107_07_06_01_085_001.jp2,,11280/7fbbe66e,118.1,,,11280/2e0457ac,11280/200014b2,11280/a132e33a,11280/bf166a24,,,,,,,
2039,Lot 5,049456024,07-06-01-089,Arba,B335222107_07_06_01_089_001.jp2,,11280/811cf49e,119.0,,,11280/94082ddc,11280/2f2a0570,11280/6170981e,11280/889b8b60,,,,,,,
2040,Lot 5,049456032,07-06-01-091,Palestro,B335222107_07_06_01_091_001.jp2,,11280/956153d9,121.8,,,11280/de8d4753,11280/03db67c2,11280/b5a3daae,11280/48a1d770,,,,,,,
2041,Lot 5,187244170,07-06-01-094,Dra-El-Mizan,B335222107_07_06_01_094_001.jp2,,11280/919584c7,125.5,,,11280/566957df,11280/7e30d428,11280/583ba2f5,11280/9f75bc08,,,,,,,
2042,Lot 5,187261873,07-06-01-097,Fort National,B335222107_07_06_01_097_001.jp2,,11280/934c8f5d,119.9,,,11280/1ac65366,11280/a7c60d5b,11280/8bcc151b,11280/ba53dc92,,,,,,,
2043,Lot 5,187352984,07-06-01-100,Sidi Aïch,B335222107_07_06_01_100_001.jp2,,11280/cf657630,122.8,,,11280/a0319c93,11280/6a7a6f58,11280/93454386,11280/d05f9b9c,,,,,,,
2044,Lot 5,187353360,07-06-01-102,Oued Amizour,B335222107_07_06_01_102_001.jp2,,11280/25f20aa2,123.2,,,11280/6f31a6f9,11280/019a8110,11280/736e8503,11280/9534df6b,,,,,,,
2045,Lot 5,244935688,07-06-01-103,Oued Amizour,B335222107_07_06_01_103_001.jp2,,11280/a346907c,128.9,,,11280/d2f59c26,11280/cdb486d9,11280/28672106,11280/e91bb30b,,,,,,,
2046,Lot 5,18735409X,07-06-01-105,Ziama,B335222107_07_06_01_105_001.jp2,,11280/4a873fb0,119.6,,,11280/4c3abdf2,11280/7bdf3104,11280/1ca13cd6,11280/9fd718c4,,,,,,,
2047,Lot 5,244974969,07-06-01-106,Ziama,B335222107_07_06_01_106_001.jp2,,11280/f7a6f9d6,125.7,,,11280/a368d024,11280/d09b2ad3,11280/be350307,11280/94b003e2,,,,,,,
2048,Lot 5,187354766,07-06-01-108,Tamescuida,B335222107_07_06_01_108_001.jp2,,11280/52aa7699,117.8,,,11280/0f8b1089,11280/93553033,11280/21c44af3,11280/3f60e488,,,,,,,
2049,Lot 5,187355355,07-06-01-111,Sidi Mérouane,B335222107_07_06_01_111_001.jp2,,11280/8161e8e7,121.4,,,11280/0a756df3,11280/37c9bed9,11280/412293a8,11280/232c14e8,,,,,,,
2050,Lot 5,18735586X,07-06-01-114,Sidi Dris,B335222107_07_06_01_114_001.jp2,,11280/2961a7e2,121.4,,,11280/414c2c79,11280/5ade3ef0,11280/2adfcf86,11280/07cf9ddc,,,,,,,
2051,Lot 5,049456075,07-06-01-116,Condé-Smendou,B335222107_07_06_01_116_001.jp2,,11280/16f084c9,119.8,,,11280/0404da5a,11280/ddf27e19,11280/2a507e8e,11280/98a2c5f6,,,,,,,
2052,Lot 5,18735801X,07-06-01-118,Hammam Meskoutine,B335222107_07_06_01_118_001.jp2,,11280/2fc7e52f,121.7,,,11280/4847890e,11280/db4f8b83,11280/2fbcc12f,11280/c1e8b1b4,,,,,,,
2053,Lot 5,187358907,07-06-01-121,Guelma,B335222107_07_06_01_121_001.jp2,,11280/fb7a75fd,120.6,,,11280/f99a88a0,11280/3f3965cc,11280/2e1db810,11280/ffe580f9,,,,,,,
2054,Lot 5,187359199,07-06-01-124,Duvivier,B335222107_07_06_01_124_001.jp2,,11280/281a1ebf,118.9,,,11280/81d063d5,11280/a6ba60fc,11280/f6d52958,11280/d7e9dc60,,,,,,,
2055,Lot 5,18735958X,07-06-01-126,Lamy,B335222107_07_06_01_126_001.jp2,,11280/85ef2f36,126.6,,,11280/1b347889,11280/7491de68,11280/58683da6,11280/44123915,,,,,,,
2056,Lot 5,187361312,07-06-01-130,Cap Magroua,B335222107_07_06_01_130_001.jp2,,11280/8f7e213c,106.9,,,11280/5c5d0463,11280/f0ea434d,11280/b474a625,11280/aede20c1,,,,,,,
2057,Lot 5,18736446X,07-06-01-133,Cavaignac,B335222107_07_06_01_133_001.jp2,,11280/9bebd396,118.2,,,11280/b4fda202,11280/dadda425,11280/4b10c82b,11280/0d4e6857,,,,,,,
2058,Lot 5,187365113,07-06-01-136,Ténès,B335222107_07_06_01_136_001.jp2,,11280/ee5a2052,122.3,,,11280/766d8b5f,11280/e39ad4d0,11280/c8de83ec,11280/a827ea91,,,,,,,
2059,Lot 5,187366918,07-06-01-138,Oued Damous,B335222107_07_06_01_138_001.jp2,,11280/1646438f,122.8,,,11280/58cd37ad,11280/b9e77691,11280/7b2d03bb,11280/04a32baa,,,,,,,
2060,Lot 5,185126278,07-06-01-141,Marceau,B335222107_07_06_01_141_001.jp2,,11280/37373ddd,122.4,,,11280/6fcb8fb8,11280/1b7092ca,11280/3f06b9d0,11280/dc1d4dcf,,,,,,,
2061,Lot 5,185358829,07-06-01-144,Marengo,B335222107_07_06_01_144_001.jp2,,11280/62a4f813,115.9,,,11280/23ac2f92,11280/65fe5850,11280/56de6c7b,11280/189e6e0e,,,,,,,
2062,Lot 5,049456393,07-06-01-145,Blida,B335222107_07_06_01_145_001.jp2,,11280/50ff851a,125.3,,,11280/a663f677,11280/78ab4dde,11280/99c0cd5d,11280/0bee4e28,,,,,,,
2063,Lot 5,049456105,07-06-01-147,Tablat,B335222107_07_06_01_147_001.jp2,,11280/f66f0594,114.4,,,11280/afc9abf8,11280/909213d0,11280/67da4050,11280/539bf79b,,,,,,,
2064,Lot 5,049456121,07-06-01-150,Laperrine,B335222107_07_06_01_150_001.jp2,,11280/7f521b7f,122.1,,,11280/979ed71c,11280/5b9830ae,11280/3d8bd555,11280/e04ecfec,,,,,,,
2065,Lot 5,245312080,07-06-01-153,Bouïra,B335222107_07_06_01_153_001.jp2,,11280/6c0a951d,122.7,,,11280/66f3a505,11280/a6f7df40,11280/2fcfd37d,11280/8d3eb53e,,,,,,,
2066,Lot 5,049456148,07-06-01-155,Tazmalt,B335222107_07_06_01_155_001.jp2,,11280/4f735f47,121.9,,,11280/00d3fc42,11280/14150bea,11280/2bd03afa,11280/471ecc91,,,,,,,
2067,Lot 5,187420556,07-06-01-157,Akbou,B335222107_07_06_01_157_001.jp2,,11280/fe4c3751,123.1,,,11280/6c714c19,11280/811f1131,11280/b93c2730,11280/7ae3a831,,,,,,,
2068,Lot 5,049456156,07-06-01-159,Aïne Roua,B335222107_07_06_01_159_001.jp2,,11280/bdf9d2ba,103.2,,,11280/a280356e,11280/237d548c,11280/8753f125,11280/74e5b7af,,,,,,,
2069,Lot 5,245319530,07-06-01-160,Aïne Roua,B335222107_07_06_01_160_001.jp2,,11280/4202c5b5,122.3,,,11280/504bfd9a,11280/df4fde64,11280/30fb1f66,11280/63ac23b7,,,,,,,
2070,Lot 5,187421277,07-06-01-163,Kerrata,B335222107_07_06_01_163_001.jp2,,11280/7cf68e99,120.9,,,11280/3ad9fb87,11280/130f928e,11280/bec2f8a8,11280/7967e5b8,,,,,,,
2071,Lot 5,245349006,07-06-01-164,Takitount,B335222107_07_06_01_164_001.jp2,,11280/889975f7,128.8,,,11280/54ed553f,11280/ce613c0c,11280/00aa5502,11280/fcdf1136,,,,,,,
2072,Lot 5,187421609,07-06-01-166,Djemila,B335222107_07_06_01_166_001.jp2,,11280/36bc0d4b,116.9,,,11280/752ce336,11280/5d3a36cc,11280/6b80e296,11280/2fe6cde9,,,,,,,
2073,Lot 5,187422257,07-06-01-168,Redjas-El-Ferada,B335222107_07_06_01_168_001.jp2,,11280/81104c4f,115.4,,,11280/0bc1250b,11280/ec304278,11280/3cf5433d,11280/0dd65e17,,,,,,,
2074,Lot 5,187422710,07-06-01-169,Constantine,B335222107_07_06_01_169_001.jp2,,11280/19bd8196,110.5,,,11280/eddbf9f7,11280/f5c62b78,11280/a8827a7c,11280/61c84859,,,,,,,
2075,Lot 5,245354921,07-06-01-170,Constantine,B335222107_07_06_01_170_001.jp2,,11280/af1e00e3,126.0,,,11280/af1cdb28,11280/80d0998c,11280/ca665cb1,11280/55887f30,,,,,,,
2076,Lot 5,245356037,07-06-01-173,El Aria,B335222107_07_06_01_173_001.jp2,,11280/af48f89e,121.0,,,11280/670f00d8,11280/6496a3a3,11280/0b79b301,11280/b530db98,,,,,,,
2077,Lot 5,187424020,07-06-01-175,Oued Zénati,B335222107_07_06_01_175_001.jp2,,11280/af94016b,121.2,,,11280/a9385d89,11280/dfbca83a,11280/bef5a30c,11280/0a044b65,,,,,,,
2078,Lot 5,18742439X,07-06-01-177,Gounod,B335222107_07_06_01_177_001.jp2,,11280/d9771bfa,113.7,,,11280/0b139858,11280/3079066a,11280/f3aa2ef4,11280/9efae57d,,,,,,,
2079,Lot 5,187373221,07-06-01-179,Souk-Ahras,B335222107_07_06_01_179_001.jp2,,11280/c56b3dc4,117.2,,,11280/41fe7f95,11280/2cc24ef0,11280/061d3087,11280/8a5edbfc,,,,,,,
2080,Lot 5,245384901,07-06-01-181,Oued Mougras,B335222107_07_06_01_181_001.jp2,,11280/57c8ca7e,108.8,,,11280/f0b729c0,11280/d2093cc8,11280/3577afb2,11280/9222a549,,,,,,,
2081,Lot 5,245384960,07-06-01-183,Petit Port,B335222107_07_06_01_183_001.jp2,,11280/ee4bec4a,110.0,,,11280/af136cb6,11280/de14c3ca,11280/18f6806f,11280/0bc5958c,,,,,,,
2082,Lot 5,049456555,07-06-01-186,Oued Kramis,B335222107_07_06_01_186_001.jp2,,11280/0edc1579,120.6,,,11280/f9463b75,11280/469aaa47,11280/20f36652,11280/01466c87,,,,,,,
2083,Lot 5,187373922,07-06-01-189,Warnier,B335222107_07_06_01_189_001.jp2,,11280/bdadefc6,115.7,,,11280/6bdfc313,11280/1027ba9d,11280/58af7431,11280/3677cccd,,,,,,,
2084,Lot 5,187374201,07-06-01-193,Oued Fodda,B335222107_07_06_01_193_001.jp2,,11280/25c84d41,120.1,,,11280/8eed9d65,11280/4c5873fd,11280/2009b0bf,11280/9e440a53,,,,,,,
2085,Lot 5,187374821,07-06-01-197,Carnot,B335222107_07_06_01_197_001.jp2,,11280/70d22cf6,122.0,,,11280/06569d3b,11280/71ec08d5,11280/e890a926,11280/e4c72eae,,,,,,,
2086,Lot 5,185345433,07-06-01-200,Miliana,B335222107_07_06_01_200_001.jp2,,11280/795b912c,117.7,,,11280/eb5ff507,11280/56cd3405,11280/15171f96,11280/c78324b1,,,,,,,
2087,Lot 5,187377294,07-06-01-203,Lavigerie,B335222107_07_06_01_203_001.jp2,,11280/ea5ee6e1,121.3,,,11280/eb960f26,11280/a1c9eb02,11280/9199fc77,11280/c843411a,,,,,,,
2088,Lot 5,049456563,07-06-01-206,Médéa,B335222107_07_06_01_206_001.jp2,,11280/ff16c192,123.8,,,11280/261cd946,11280/3580fb85,11280/1e1f3862,11280/bb313b56,,,,,,,
2089,Lot 5,187388458,07-06-01-209,Oued El Malah,B335222107_07_06_01_209_001.jp2,,11280/80f1c108,113.1,,,11280/7c3c6988,11280/5809b1fc,11280/91387d36,11280/7bca2063,,,,,,,
2090,Lot 5,049456571,07-06-01-211,Aïn Bessem,B335222107_07_06_01_211_001.jp2,,11280/3197a605,117.8,,,11280/711d64ac,11280/b8a62c87,11280/e7522154,11280/16c061e1,,,,,,,
2091,Lot 5,04945658X,07-06-01-215,El Esnam,B335222107_07_06_01_215_001.jp2,,11280/62c04097,122.6,,,11280/aaf0ae36,11280/4c247e34,11280/07a82cfe,11280/92516e02,,,,,,,
2092,Lot 5,231649878,07-06-01-217,Beni Mansour,B335222107_07_06_01_217_001.jp2,,11280/4088409a,119.0,,,11280/c56859bf,11280/c0316c6d,11280/e4ce7434,11280/4acc7054,,,,,,,
2093,Lot 5,248183869,07-06-01-220,Bordj Boni,B335222107_07_06_01_220_001.jp2,,11280/0ecff8d0,126.2,,,11280/a5793492,11280/46a23c50,11280/e0e189e4,11280/746f2f39,,,,,,,
2094,Lot 5,248186736,07-06-01-223,Le Bou Sellam,B335222107_07_06_01_223_001.jp2,,11280/e25e470d,125.5,,,11280/4d5a2001,11280/a94cd4b8,11280/6dd936c4,11280/0d15bb56,,,,,,,
2095,Lot 5,187399751,07-06-01-227,Sétif,B335222107_07_06_01_227_001.jp2,,11280/f0345a5f,121.0,,,11280/77b8445c,11280/954f4d5b,11280/735aa78d,11280/5eb33a91,,,,,,,
2096,Lot 5,187400172,07-06-01-229,St Arnaud,B335222107_07_06_01_229_001.jp2,,11280/d6004346,117.6,,,11280/e381cd74,11280/7492648d,11280/d48aa4a6,11280/2635f94b,,,,,,,
2097,Lot 5,187400865,07-06-01-232,Châteaudun du Rhumel,B335222107_07_06_01_232_001.jp2,,11280/94b5da52,118.5,,,11280/828e8349,11280/4580c65b,11280/4e026bf3,11280/b612482c,,,,,,,
2098,Lot 5,187428158,07-06-01-235,Oued Athmenia,B335222107_07_06_01_235_001.jp2,,11280/0494a7cd,122.9,,,11280/e7f15445,11280/f10502c9,11280/bc39f9ea,11280/804e6c14,,,,,,,
2099,Lot 5,200058746,07-06-01-238,Le Khroub,B335222107_07_06_01_238_001.jp2,,11280/6f3e0409,122.5,,,11280/09a14647,11280/bc516b0d,11280/05c51297,11280/88b4bdfa,,,,,,,
2100,Lot 5,187428832,07-06-01-240,Aïne Regada,B335222107_07_06_01_240_001.jp2,,11280/54e296e6,117.0,,,11280/6f4c28d5,11280/163e9d3e,11280/34a4bc9f,11280/594f8d9c,,,,,,,
2101,Lot 5,187429936,07-06-01-242,Sedrata,B335222107_07_06_01_242_001.jp2,,11280/25aa275e,122.9,,,11280/11a6b5d3,11280/7891773d,11280/e15a689e,11280/09c9a306,,,,,,,
2102,Lot 5,187430241,07-06-01-245,Montesquieu,B335222107_07_06_01_245_001.jp2,,11280/f3f4095c,113.4,,,11280/550821f5,11280/7df0579b,11280/ec477e9f,11280/a29dd9ea,,,,,,,
2103,Lot 5,248206052,07-06-01-248,Gambetta,B335222107_07_06_01_248_001.jp2,,11280/a684aadf,114.0,,,11280/0c92ff05,11280/cacfb741,11280/cc7b3307,11280/d5ec2e03,,,,,,,
2104,Lot 5,,07-06-01-250,Belle Côte,B335222107_07_06_01_250_001.jp2,,11280/031493ee,109.6,,,11280/9db5444d,11280/d4d810c4,11280/64087f43,11280/6ea35e30,,,,,,,
2105,Lot 5,167841246,07-06-01-253,Bosquet,B335222107_07_06_01_253_001.jp2,,11280/1870f34b,100.4,,,11280/38ef7885,11280/94e806b7,11280/a76fb003,11280/7dc97e1c,,,,,,,
2106,Lot 5,04945661X,07-06-01-256,Renault,B335222107_07_06_01_256_001.jp2,,11280/850d2737,120.0,,,11280/281301b4,11280/7431d081,11280/ae31ac98,11280/3160e6a4,,,,,,,
2107,Lot 5,187440948,07-06-01-259,Charon,B335222107_07_06_01_259_001.jp2,,11280/73bed6c2,115.6,,,11280/66c296ac,11280/d95bcc18,11280/b5d4554b,11280/534971ff,,,,,,,
2108,Lot 5,187441871,07-06-01-261,Orléansville,B335222107_07_06_01_261_001.jp2,,11280/19ce8870,117.1,,,11280/b5d4501b,11280/228a3368,11280/b59860b2,11280/b4ec8ac7,,,,,,,
2109,Lot 5,187442649,07-06-01-263,Beni Bou Douane,B335222107_07_06_01_263_001.jp2,,11280/c45d6071,117.8,,,11280/5a63c77a,11280/a249b510,11280/0a89965c,11280/1212e783,,,,,,,
2110,Lot 5,187447179,07-06-01-265,Pont du Caïd,B335222107_07_06_01_265_001.jp2,,11280/6898006b,122.8,,,11280/39c86952,11280/22197306,11280/5f22939c,11280/d8f6e004,,,,,,,
2111,Lot 5,187448086,07-06-01-268,Sidi Madjoub,B335222107_07_06_01_268_001.jp2,,11280/001c37ec,114.3,,,11280/29b964d6,11280/cb47d732,11280/e01e7100,11280/941413bc,,,,,,,
2112,Lot 5,,07-06-02-003,Berrouaghia,B335222107_07_06_02_003_001.jp2,,11280/58ec82ef,119.9,,,11280/094ac88a,11280/da45458e,11280/ee01260d,11280/bdb0068d,,,,,,,
2113,Lot 5,,07-06-02-005,Souagui,B335222107_07_06_02_005_001.jp2,,11280/c9f16512,115.7,,,11280/a4364e75,11280/05d504c2,11280/1162f0fc,11280/55de754e,,,,,,,
2114,Lot 5,,07-06-02-007,Aumale,B335222107_07_06_02_007_001.jp2,,11280/d8b9e7f3,119.0,,,11280/77e6b7e7,11280/d420fe29,11280/ecd37565,11280/c10f4e4f,,,,,,,
2115,Lot 5,,07-06-02-010,Oud Okris,B335222107_07_06_02_010_001.jp2,,11280/a8241fdb,125.8,,,11280/8514f0ce,11280/1c27eac4,11280/ec190207,11280/31c124f9,,,,,,,
2116,Lot 5,,07-06-02-013,Mansourah,B335222107_07_06_02_013_001.jp2,,11280/2d8e81a8,126.0,,,11280/e3f5edf5,11280/33c4b4fe,11280/66a50a63,11280/fee3eb01,,,,,,,
2117,Lot 5,,07-06-02-016,Bordj Bou Arreridj,B335222107_07_06_02_016_001.jp2,,11280/aca419d8,122.9,,,11280/45df18c5,11280/ec0653c0,11280/f51c76a9,11280/aad8c6a8,,,,,,,
2118,Lot 5,,07-06-02-019,Aïne Tagrout,B335222107_07_06_02_019_001.jp2,,11280/124c4cfd,113.9,,,11280/5a22472f,11280/25f7ad9a,11280/3e29fb46,11280/a6eaa822,,,,,,,
2119,Lot 5,,07-06-02-022,Mezloug,B335222107_07_06_02_022_001.jp2,,11280/711654ef,115.0,,,11280/63191b4f,11280/aa4da366,11280/de587664,11280/5a23418e,,,,,,,
2120,Lot 5,,07-06-02-024,Navarin,B335222107_07_06_02_024_001.jp2,,11280/95ddc6a8,111.5,,,11280/8e44268d,11280/eb59c293,11280/3d2f8212,11280/db1f977b,,,,,,,
2121,Lot 5,,07-06-02-027,St Donat,B335222107_07_06_02_027_001.jp2,,11280/54f24881,118.0,,,11280/e791fc23,11280/4ca2bcb2,11280/9918d8cb,11280/e844875e,,,,,,,
2122,Lot 5,,07-06-02-030,Aïne Mlila,B335222107_07_06_02_030_001.jp2,,11280/2686cf64,116.2,,,11280/951cd1c1,11280/0242752e,11280/3a488360,11280/11d8a5a3,,,,,,,
2123,Lot 5,,07-06-02-032,Aïn Fakroun,B335222107_07_06_02_032_001.jp2,,11280/d5b4b5b7,114.4,,,11280/99240a90,11280/af9919ff,11280/0a5b4b9a,11280/db20681b,,,,,,,
2124,Lot 5,,07-06-02-041,Djebel Ouenza,B335222107_07_06_02_041_001.jp2,,11280/69661659,114.0,,,11280/b542e011,11280/aa3f0afc,11280/f9014b10,11280/d4d5424c,,,,,,,
2125,Lot 5,,07-06-02-044,Arzew,B335222107_07_06_02_044_001.jp2,,11280/4b131542,109.5,,,11280/5dc29f68,11280/d19c9b71,11280/bbc06ff2,11280/56c34b5a,,,,,,,
2126,Lot 5,,07-06-02-047,Mostaganem,B335222107_07_06_02_047_001.jp2,,11280/3e5ef29d,113.3,,,11280/0795a6c7,11280/708c395a,11280/37619a5b,11280/eea0af65,,,,,,,
2127,Lot 5,,07-06-02-050,Bel Hacel,B335222107_07_06_02_050_001.jp2,,11280/69c655c8,121.3,,,11280/154cc1d0,11280/a049c96b,11280/588c52e8,11280/49d959d8,,,,,,,
2128,Lot 5,,07-06-02-053,Inkermann,B335222107_07_06_02_053_001.jp2,,11280/a22d856c,115.5,,,11280/7717154e,11280/8f502891,11280/3c3d692d,11280/f1efbfca,,,,,,,
2129,Lot 5,,07-06-02-056,Ammi Moussa,B335222107_07_06_02_056_001.jp2,,11280/66da28fd,116.5,,,11280/aa73bfdb,11280/e053a50a,11280/82a149af,11280/0d27924a,,,,,,,
2130,Lot 5,,07-06-02-061,Teniet El Haad,B335222107_07_06_02_061_001.jp2,,11280/af53377e,121.0,,,11280/e52fb32f,11280/96cb0460,11280/bcf481e3,11280/8c3f0d2d,,,,,,,
2131,Lot 5,,07-06-02-064,Letourneux,B335222107_07_06_02_064_001.jp2,,11280/a103d31e,119.9,,,11280/ae4e58f4,11280/c74faf33,11280/062db048,11280/e5b8318c,,,,,,,
2132,Lot 5,,07-06-02-068,Boghar,B335222107_07_06_02_068_001.jp2,,11280/041af6ad,124.1,,,11280/ec5fd9cf,11280/b26711d5,11280/f1992795,11280/4283f15b,,,,,,,
2133,Lot 5,,07-06-02-076,Maadid,B335222107_07_06_02_076_001.jp2,,11280/ac431623,118.8,,,11280/72e88228,11280/2bc9bea8,11280/14c8ba71,11280/abcedd56,,,,,,,
2134,Lot 5,,07-06-02-090,Les Andalouses,B335222107_07_06_02_090_001.jp2,,11280/eca05ca7,108.4,,,11280/75e3078a,11280/3c631dbf,11280/93730aae,11280/7fcbc106,,,,,,,
2135,Lot 5,,07-06-02-092,Oran,B335222107_07_06_02_092_001.jp2,,11280/2e15bb83,117.1,,,11280/7e1065b4,11280/d7e86844,11280/f33c302a,11280/7ab19882,,,,,,,
2136,Lot 5,,07-06-02-093,Oran,B335222107_07_06_02_093_001.jp2,,11280/eb79b7b1,122.0,,,11280/2edc07d6,11280/f0766691,11280/ab1279e5,11280/7e01ddcc,,,,,,,
2137,Lot 5,,07-06-02-096,St Cloud,B335222107_07_06_02_096_001.jp2,,11280/0f95bd73,115.3,,,11280/3110faf9,11280/f7b108a0,11280/fa7c9e8f,11280/415fbc99,,,,,,,
2138,Lot 5,,07-06-02-098,Debrousseville,B335222107_07_06_02_098_001.jp2,,11280/26ad9b51,109.5,,,11280/bfbb81b8,11280/d6ea3950,11280/dcfc0c33,11280/3f3afa24,,,,,,,
2139,Lot 5,,07-06-02-101,Relizane,B335222107_07_06_02_101_001.jp2,,11280/553dcd5c,118.6,,,11280/4be5829c,11280/6d635ea2,11280/dee2a2c1,11280/1e59af24,,,,,,,
2140,Lot 5,,07-06-02-104,Zemmora,B335222107_07_06_02_104_001.jp2,,11280/3c614f4e,115.3,,,11280/ac258346,11280/f9014fb8,11280/5cc34cd9,11280/2c31cc93,,,,,,,
2141,Lot 5,,07-06-02-117,Msila,B335222107_07_06_02_117_001.jp2,,11280/a16cf045,113.3,,,11280/b86157fc,11280/39e19f48,11280/f490c64f,11280/2e3e917b,,,,,,,
2142,Lot 5,,07-06-02-132,Rio Salado,B335222107_07_06_02_132_001.jp2,,11280/70cd074e,102.3,,,11280/6119c5e8,11280/be29693a,11280/2e0db8b1,11280/92bbe6fe,,,,,,,
2143,Lot 5,,07-06-02-134,Lourmel,B335222107_07_06_02_134_001.jp2,,11280/6d6b6e3f,114.3,,,11280/cbce8167,11280/19b17323,11280/25e4e2c3,11280/7c2ad320,,,,,,,
2144,Lot 5,,07-06-02-137,Arbal,B335222107_07_06_02_137_001.jp2,,11280/c9574128,113.7,,,11280/8685842e,11280/449d97b9,11280/e4aa79dd,11280/580592a1,,,,,,,
2145,Lot 5,,07-06-02-139,St-Denis-Du-Sig,B335222107_07_06_02_139_001.jp2,,11280/5be7083c,114.6,,,11280/09d8d974,11280/c32324a9,11280/95ed12f1,11280/3d959de8,,,,,,,
2146,Lot 5,,07-06-02-141,Perrégaux,B335222107_07_06_02_141_001.jp2,,11280/c619d8c2,121.5,,,11280/26c7e1d9,11280/a36ee188,11280/194720c9,11280/75e672e5,,,,,,,
2147,Lot 5,,07-06-02-144,Aïne Faress,B335222107_07_06_02_144_001.jp2,,11280/ea174396,121.8,,,11280/fa0ec3ab,11280/56130dd2,11280/f8e46f7f,11280/b766bb28,,,,,,,
2148,Lot 5,,07-06-02-147,Uzès-Le-Duc,B335222107_07_06_02_147_001.jp2,,11280/a6321891,122.9,,,11280/f269d247,11280/7bcae930,11280/30dd562b,11280/ef2843b3,,,,,,,
2149,Lot 5,,07-06-02-157,Bir Hanate,B335222107_07_06_02_157_001.jp2,,11280/7c89c3f7,106.0,,,11280/563fdbf7,11280/4113c253,11280/bc1f1d4f,11280/fb0c3dce,,,,,,,
2150,Lot 5,,07-06-02-169,Tébessa,B335222107_07_06_02_169_001.jp2,,11280/149f1245,116.2,,,11280/5a311059,11280/171710cc,11280/c36a1f79,11280/805300a3,,,,,,,
2151,Lot 5,,07-06-02-172,El Mokreum,B335222107_07_06_02_172_001.jp2,,11280/f81b0eec,104.1,,,11280/52cdb219,11280/c79bb630,11280/0e88b99c,11280/c7231686,,,,,,,
2152,Lot 5,,07-06-02-175,Beni-Saf,B335222107_07_06_02_175_001.jp2,,11280/d99ec409,111.4,,,11280/1fc4af9f,11280/f98b7042,11280/f3026add,11280/6af69575,,,,,,,
2153,Lot 5,,07-06-02-178,Aïn Temouchent,B335222107_07_06_02_178_001.jp2,,11280/508be2d7,118.0,,,11280/31b6578a,11280/da909729,11280/6697fe54,11280/5cd7d61a,,,,,,,
2154,Lot 5,,07-06-02-180,Oued Imbert,B335222107_07_06_02_180_001.jp2,,11280/4481ae81,116.0,,,11280/772e105d,11280/c0b41171,11280/09d839eb,11280/a1d168b5,,,,,,,
2155,Lot 5,,07-06-02-183,Bou Djebâa,B335222107_07_06_02_183_001.jp2,,11280/d41d5daf,118.8,,,11280/10485c47,11280/4a77d286,11280/669176b4,11280/573d741e,,,,,,,
2156,Lot 5,,07-06-02-186,Mascara,B335222107_07_06_02_186_001.jp2,,11280/8133efca,117.0,,,11280/36f57e2b,11280/6c117f30,11280/565b67dd,11280/f14eee99,,,,,,,
2157,Lot 5,,07-06-02-188,Palikao,B335222107_07_06_02_188_001.jp2,,11280/bba8220c,115.5,,,11280/a21fafd1,11280/31f62dc8,11280/d94c3e7f,11280/b7ac7a4b,,,,,,,
2158,Lot 5,,07-06-02-191,Djilali Ben Amar,B335222107_07_06_02_191_001.jp2,,11280/9cec4d8e,119.6,,,11280/943ec467,11280/6f7d9cf7,11280/9f43df29,11280/697d3388,,,,,,,
2159,Lot 5,,07-06-02-195,Prévost-Paradol,B335222107_07_06_02_195_001.jp2,,11280/8d772188,119.0,,,11280/e7020a36,11280/5fc4eeaa,11280/acdc646e,11280/651ef459,,,,,,,
