,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
800,Lot 2,181010569,10-12-16-04,Mapa de la Provincia de Buenos Aires [Sud-Est],B335222107_10_12_16_04_001.jp2,,11280/739d2f57,114.2,,,11280/81e7a051,11280/ac779e6b,11280/c9b87e7e,,192.7,,,,,,
801,Lot 2,181012820,10-12-16-05,Mapa de la Provincia de Corrientes [Est],B335222107_10_12_16_05_001.jp2,,11280/c487858c,165.0,,,11280/4de1e54f,11280/f75af401,11280/31870b2b,,278.3,,,,,,
802,Lot 2,181012820,10-12-16-06,Mapa de la Provincia de Corrientes [Ouest],B335222107_10_12_16_06_001.jp2,,11280/08e81983,165.9,,,,,,,,,,,,,
803,Lot 2,181014149,10-12-16-07,Plano Nuevo de los Territorios del Chaco argentino,B335222107_10_12_16_07_001.jp2,,11280/c757ca56,431.6,,,,,,,,,,,,,
804,Lot 2,181035804,10-12-17-01,San Antonio,B335222107_10_12_17_01_001.jp2,,11280/5d7c0110,57.8,,,,,,,,,,,,,
805,Lot 2,181036657,10-12-17-02,Parana,B335222107_10_12_17_02_001.jp2,,11280/1ebca936,59.3,,,,,,,,,,,,,
806,Lot 2,181037254,10-12-17-03,Otamendi,B335222107_10_12_17_03_001.jp2,,11280/ae3e4598,55.1,,,,,,,,,,,,,
807,Lot 2,181037769,10-12-17-04,Toro,B335222107_10_12_17_04_001.jp2,,11280/2eb7a12a,58.6,,,,,,,,,,,,,
808,Lot 2,181042231,10-12-17-05,Garin,B335222107_10_12_17_05_001.jp2,,11280/a85559d1,58.9,,,,,,,,,,,,,
809,Lot 2,181044730,10-12-17-06,San Fernando,B335222107_10_12_17_06_001.jp2,,11280/40971e8b,59.7,,,,,,,,,,,,,
810,Lot 2,18104563X,10-12-17-07,Campo de Mayo,B335222107_10_12_17_07_001.jp2,,11280/b60987b7,56.4,,,,,,,,,,,,,
811,Lot 2,181046784,10-12-17-08,Estancia Alvarez,B335222107_10_12_17_08_001.jp2,,11280/d5da0a40,57.1,,,,,,,,,,,,,
812,Lot 2,18104952X,10-12-17-09,Merlo,B335222107_10_12_17_09_001.jp2,,11280/c59dd7c3,56.8,,,,,,,,,,,,,
813,Lot 2,181050153,10-12-17-10,Moron,B335222107_10_12_17_10_001.jp2,,11280/bd834c4e,59.4,,,,,,,,,,,,,
814,Lot 2,181051826,10-12-17-11,San Justo,B335222107_10_12_17_11_001.jp2,,11280/e9b96760,63.5,,,,,,,,,,,,,
815,Lot 2,181055562,10-12-17-12,Platanos,B335222107_10_12_17_12_001.jp2,,11280/64679bbc,58.9,,,,,,,,,,,,,
816,Lot 2,181057581,10-12-17-13,Florencio Varela,B335222107_10_12_17_13_001.jp2,,11280/c684b61d,57.8,,,,,,,,,,,,,
817,Lot 2,181057956,10-12-17-14,Pereyra,B335222107_10_12_17_14_001.jp2,,11280/f3f4e908,58.1,,,,,,,,,,,,,
818,Lot 2,181064510,10-12-17-15,Cuatreros,B335222107_10_12_17_15_001.jp2,,11280/cd6da6bf,57.0,,,,,,,,,,,,,
819,Lot 2,181064839,10-12-17-16,Bahia Blanca,B335222107_10_12_17_16_001.jp2,,11280/c1b310f7,55.3,,,,,,,,,,,,,
820,Lot 2,18106510X,10-12-17-17,Grünbein,B335222107_10_12_17_17_001.jp2,,11280/e94545b4,58.1,,,,,,,,,,,,,
821,Lot 2,18116065X,10-12-18-01,Republica de Chile [17°-19° S],B335222107_10_12_18_01_001.jp2,,11280/839b7b47,143.6,,,,,,,,,,,,,
822,Lot 2,181162105,10-12-18-02,Republica de Chile [27°-29° S],B335222107_10_12_18_02_001.jp2,,11280/ac342e9d,139.4,,,,,,,,,,,,,
823,Lot 2,181163160,10-12-18-03,Republica de Chile [29°-31° S],B335222107_10_12_18_03_001.jp2,,11280/e135122f,136.5,,,,,,,,,,,,,
824,Lot 2,181164418,10-12-18-04,Republica de Chile [31°-33° S],B335222107_10_12_18_04_001.jp2,,11280/bfd0f3d4,135.4,,,,,,,,,,,,,
825,Lot 2,181164868,10-12-18-05,Republica de Chile [33°-35° S],B335222107_10_12_18_05_001.jp2,,11280/60e022d6,138.1,,,,,,,,,,,,,
826,Lot 2,181165694,10-12-18-06,Republica de Chile [35°-37° S],B335222107_10_12_18_06_001.jp2,,11280/178e24b1,139.4,,,,,,,,,,,,,
827,Lot 2,181166488,10-12-18-07,Republica de Chile [37°-39° S],B335222107_10_12_18_07_001.jp2,,11280/9f304bde,143.5,,,,,,,,,,,,,
828,Lot 2,181167271,10-12-18-08,Republica de Chile [39°-41° S],B335222107_10_12_18_08_001.jp2,,11280/ea5be304,137.8,,,,,,,,,,,,,
829,Lot 2,181173077,10-12-19-01,Carta de la rejion salitrera comprendida entre los paralelos 19° y 27°30' lat. sur,B335222107_10_12_19_01_001.jp2,,11280/4331954f,33.0,,,,,,,,,,,,,
